# shell	all	edge
46950455.000000 24414099.000000 67.590094
47067489.000000 24464712.000000 67.690228
47178678.000000 24499433.000000 67.790361
47301299.000000 24551738.000000 67.890495
47431930.000000 24598950.000000 67.990629
47545785.000000 24650866.000000 68.090763
47642348.000000 24673082.000000 68.190897
47794838.000000 24746796.000000 68.291031
47921003.000000 24794241.000000 68.391165
48014268.000000 24822663.000000 68.491299
48166018.000000 24884614.000000 68.591432
48276780.000000 24929404.000000 68.691566
48382306.000000 24962229.000000 68.791700
48515390.000000 25014637.000000 68.891834
48630755.000000 25060816.000000 68.991968
48757290.000000 25113812.000000 69.092102
48865565.000000 25149578.000000 69.192236
49011296.000000 25211549.000000 69.292369
49074852.000000 25221927.000000 69.392503
49204039.000000 25274555.000000 69.492637
49324495.000000 25323961.000000 69.592771
49452530.000000 25378537.000000 69.692905
49570749.000000 25422286.000000 69.793039
49657485.000000 25455994.000000 69.893173
49778138.000000 25501626.000000 69.993307
49891143.000000 25542415.000000 70.093440
50022490.000000 25604334.000000 70.193574
50096684.000000 25628845.000000 70.293708
50217314.000000 25674939.000000 70.393842
50359549.000000 25740955.000000 70.493976
50455152.000000 25775167.000000 70.594110
50556953.000000 25814726.000000 70.694244
50673878.000000 25864800.000000 70.794378
50756931.000000 25892348.000000 70.894511
50883657.000000 25947701.000000 70.994645
50977308.000000 25980899.000000 71.094779
51049286.000000 26002866.000000 71.194913
51190814.000000 26070588.000000 71.295047
51278465.000000 26100823.000000 71.395181
51411829.000000 26158987.000000 71.495315
51531222.000000 26213968.000000 71.595448
51617742.000000 26252203.000000 71.695582
51706991.000000 26284150.000000 71.795716
51830013.000000 26340553.000000 71.895850
51919087.000000 26381689.000000 71.995984
52038368.000000 26429755.000000 72.096118
52098098.000000 26448035.000000 72.196252
52216039.000000 26502660.000000 72.296386
52329569.000000 26555930.000000 72.396519
52448260.000000 26607458.000000 72.496653
52523554.000000 26635952.000000 72.596787
52610905.000000 26677407.000000 72.696921
52708080.000000 26710666.000000 72.797055
52823888.000000 26768623.000000 72.897189
52914154.000000 26801992.000000 72.997323
53019744.000000 26846332.000000 73.097456
53107069.000000 26889320.000000 73.197590
53209398.000000 26936500.000000 73.297724
53322704.000000 26989431.000000 73.397858
53378181.000000 27011808.000000 73.497992
53490121.000000 27056724.000000 73.598126
53581184.000000 27099212.000000 73.698260
53705814.000000 27165013.000000 73.798394
53804686.000000 27209021.000000 73.898527
53845874.000000 27231927.000000 73.998661
53974909.000000 27299313.000000 74.098795
54030588.000000 27320972.000000 74.198929
54122896.000000 27376670.000000 74.299063
54212798.000000 27427279.000000 74.399197
54279253.000000 27455458.000000 74.499331
